000972  ,  1.3368395904207173  ,  300沪市
H30082  ,  1.335567917752271  ,  300两倍
000956  ,  1.328722784230465  ,  国企200
000946  ,  1.327327418802117  ,  内地金融
H30444  ,  1.3225050383392811  ,  1000医药
000953  ,  1.322245181967697  ,  中证地企
000826  ,  1.321781558864006  ,  民企红利
H30357  ,  1.3217553204953325  ,  800R成长
000818  ,  1.3209753025399003  ,  细分金融
H30093  ,  1.3198258327606318  ,  可选红利
H30356  ,  1.3198130911806834  ,  800价值
H30086  ,  1.3196110786322706  ,  800金融
399808  ,  1.316844230734248  ,  中证新能
000960  ,  1.3165472690613773  ,  中证龙头
H30137  ,  1.3164709211829633  ,  中证城镇
H30207  ,  1.3154397267800775  ,  电脑设备
000939  ,  1.3152055702088827  ,  民企成长
930713  ,  1.314318721471497  ,  CS人工智
H30176  ,  1.3138217632212585  ,  食药零售
H30405  ,  1.308942648011972  ,  300美元对冲
399976  ,  1.3077718912435028  ,  CS新能车
H30271  ,  1.3047553430722796  ,  100动态
930695  ,  1.304321126817434  ,  500农牧渔
000906  ,  1.303275665752348  ,  中证800
H30095  ,  1.3032014781601502  ,  医药红利
000925  ,  1.301779239286746  ,  基本面50
930712  ,  1.3015294380324265  ,  CS物联网
H30274  ,  1.2972397477894149  ,  200稳定
000941  ,  1.2930949147810196  ,  新能源
L11649  ,  1.2921542430664332  ,  300电脑
000934  ,  1.2890998230983068  ,  中证金融
000921  ,  1.285516524812105  ,  300R价值
000980  ,  1.282114582114582  ,  中证超大
000940  ,  1.2816932809408355  ,  财富大盘
L11506  ,  1.2786444914877193  ,  300汽车
H30091  ,  1.2768954206745073  ,  材料红利
000965  ,  1.2757345989745894  ,  基本200
000968  ,  1.274073373306105  ,  300周期
L11502  ,  1.264097749332205  ,  300材料
000909  ,  1.2640887083516728  ,  300材料
H30001  ,  1.2597650019881759  ,  环渤海
930659  ,  1.2583951373863451  ,  CS能源互
000964  ,  1.252500968281148  ,  中证新兴
000992  ,  1.2513868037485292  ,  全指金融
H30173  ,  1.2484183284798123  ,  消费者
000829  ,  1.2443955020380981  ,  300低贝
000977  ,  1.2424666853415502  ,  内地低碳
H30255  ,  1.2418032754285586  ,  500医药
000967  ,  1.2400267449689535  ,  基本600
H30525  ,  1.236393325990151  ,  300SER
H30535  ,  1.23455549974887  ,  互联网
399975  ,  1.2330282381086783  ,  证券公司
H30358  ,  1.2319127700608599  ,  800R价值
H30257  ,  1.2293329960634278  ,  500信息
000824  ,  1.2255461719932685  ,  国企红利
000922  ,  1.2250405815905756  ,  中证红利
000936  ,  1.2211290827114354  ,  中证电信
L11643  ,  1.220869746150645  ,  300资本市场
000803  ,  1.2161448495887675  ,  300波动
000904  ,  1.2160527200198723  ,  中证200
H30211  ,  1.214023628079513  ,  资本市场
H30204  ,  1.2138116574596312  ,  酒店休闲
000931  ,  1.2117341072547203  ,  中证可选
000981  ,  1.2116362317575238  ,  300分层
000993  ,  1.205145046714071  ,  全指信息
H30023  ,  1.2022183826634387  ,  800资本
930681  ,  1.199997537042496  ,  500制药生物
930720  ,  1.19990442499021  ,  CS互医疗
000828  ,  1.1935743144042097  ,  300高贝
930632  ,  1.1921843293840413  ,  CS稀金属
H30079  ,  1.1920582556606194  ,  300信服
000929  ,  1.1920056305629705  ,  中证材料
H30011  ,  1.1920036005002617  ,  800材料
H30088  ,  1.1888187129198116  ,  500稳定
L11620  ,  1.1881920942974884  ,  300交通设施
000943  ,  1.1858650119066243  ,  新基建50
399974  ,  1.183871229322089  ,  国企改革
930635  ,  1.1821634595715085  ,  CS智慧农
930599  ,  1.1795495630461923  ,  中证高装
000955  ,  1.1778213361531649  ,  中证国企
930691  ,  1.1759695843034923  ,  500制药
H30269  ,  1.1753185396027332  ,  红利低波
000812  ,  1.1717793706431412  ,  细分机械
H30143  ,  1.1717666666666666  ,  新基建
H30261  ,  1.1700901339943628  ,  300ERC
000838  ,  1.1630834748597603  ,  创业价值
H30366  ,  1.1623991858680627  ,  高分红
399996  ,  1.159555609780604  ,  智能家居
000902  ,  1.1593971937594534  ,  中证流通
000985  ,  1.1580592363399924  ,  中证全指
H30526  ,  1.1576745439202818  ,  500SER
H30015  ,  1.1564038493001947  ,  800汽车
H30141  ,  1.1522785297245406  ,  智能交通
930733  ,  1.1521388653928182  ,  CS互联+
930662  ,  1.1499349746625407  ,  CS现代农
000962  ,  1.1480963990701987  ,  中证中游
399812  ,  1.1440989441960354  ,  养老产业
000958  ,  1.1403224640300775  ,  创业成长
H30034  ,  1.1381444940104706  ,  300有色
H30318  ,  1.1379867506867023  ,  TMT 150
000994  ,  1.1373496923279576  ,  全指电信
399994  ,  1.1335372010832148  ,  信息安全
000804  ,  1.1329492398033831  ,  500波动
L11641  ,  1.12997370588608  ,  300商业银行
000951  ,  1.12997370588608  ,  300银行
H30096  ,  1.1261729253789583  ,  金融红利
000984  ,  1.1261349972537396  ,  300等权
000947  ,  1.1243512690977944  ,  内地银行
H30022  ,  1.124351224850009  ,  800银行
930614  ,  1.1232933856963225  ,  环保50
399986  ,  1.1231385012737183  ,  中证银行
000839  ,  1.1222067551834143  ,  浙企综指
H30251  ,  1.1213433542397904  ,  500原料
930663  ,  1.1209628813935677  ,  中证创投
H30092  ,  1.1133984312469984  ,  工业红利
